,word1,word2,human,q1,q2,label1,label2
0,love,sex,6.77,Q316,Q5873,love,sexual intercourse
1,tiger,cat,7.35,Q19939,Q146,tiger,cat
2,tiger,tiger,10.0,Q19939,Q19939,tiger,tiger
3,book,paper,7.46,Q571,Q11472,book,paper
4,computer,keyboard,7.62,Q68,Q1921606,computer,keyboard
5,computer,internet,7.58,Q68,Q75,computer,Internet
6,plane,car,5.77,Q17285,Q1144312,plane,car
7,train,car,6.31,Q870,Q1144312,train,car
8,telephone,communication,7.5,Q11035,Q11024,telephone,communication
9,television,radio,6.77,Q289,Q159391,television,radio receiver
10,media,radio,7.42,,Q159391,,radio receiver
11,drug,abuse,6.85,Q8386,Q600571,drug,abuse
12,bread,butter,6.19,Q7802,Q34172,bread,butter
13,cucumber,potato,5.92,Q23425,Q16587531,Cucumis sativus,potato
14,doctor,nurse,7.0,Q39631,Q186360,physician,nurse
15,professor,doctor,6.62,Q121594,Q39631,professor,physician
16,student,professor,6.81,Q48282,Q121594,student,professor
17,smart,student,4.62,,Q48282,,student
18,smart,stupid,5.81,,Q795,,stupidity
19,company,stock,7.08,Q4830453,Q1196314,business enterprise,stock
20,stock,market,8.08,Q1196314,Q37654,stock,market
21,stock,phone,1.62,Q1196314,Q11035,stock,telephone
22,stock,CD,1.31,Q1196314,Q34467,stock,compact disc
23,stock,jaguar,0.92,Q1196314,Q35694,stock,jaguar
24,stock,egg,1.81,Q1196314,Q17147,stock,egg
25,fertility,egg,6.69,Q964401,Q17147,fertility,egg
26,stock,live,3.73,Q1196314,,stock,
27,stock,life,0.92,Q1196314,Q3,stock,life
28,book,library,7.46,Q571,Q7075,book,library
29,bank,money,8.12,Q22687,Q1368,bank,money
30,wood,forest,7.73,Q287,Q4421,wood,forest
31,money,cash,9.15,Q1368,Q693464,money,cash
32,professor,cucumber,0.31,Q121594,Q23425,professor,Cucumis sativus
33,king,cabbage,0.23,Q12097,Q35051,king,cabbage
34,king,queen,8.58,Q12097,Q19643,king,queen regnant
35,king,rook,5.92,Q12097,Q25386,king,rook
36,bishop,rabbi,6.69,Q29182,Q133485,bishop,rabbi
37,Jerusalem,Israel,8.46,Q1218,Q801,Jerusalem,Israel
38,Jerusalem,Palestinian,7.65,Q1218,Q201190,Jerusalem,Palestinian people
39,holy,sex,1.62,,Q5873,,sexual intercourse
40,fuck,sex,9.44,,Q5873,,sexual intercourse
41,Maradona,football,8.62,Q17515,Q2736,Diego Maradona,association football
42,football,soccer,9.03,Q2736,Q2736,association football,association
43,football,basketball,6.81,Q2736,Q5372,association football,basketball
44,football,tennis,6.63,Q2736,Q847,association football,tennis
45,tennis,racket,7.56,Q847,Q240502,tennis,racket
46,Arafat,peace,6.73,Q34211,Q454,Yasser Arafat,peace
47,Arafat,terror,7.65,Q34211,Q13648784,Yasser Arafat,terror
48,Arafat,Jackson,2.5,Q34211,,Yasser Arafat,
49,law,lawyer,8.38,Q7748,Q40348,law,lawyer
50,movie,star,7.38,Q11424,Q523,film,star
51,movie,popcorn,6.19,Q11424,Q165112,film,popcorn
52,movie,critic,6.73,Q11424,Q6430706,film,critic
53,movie,theater,7.92,Q11424,Q11635,film,theater
54,physics,proton,8.12,Q413,Q2294,physics,proton
55,physics,chemistry,7.35,Q413,Q2329,physics,chemistry
56,space,chemistry,4.88,Q107,Q2329,space,chemistry
57,alcohol,chemistry,5.54,Q156,Q2329,alcohol,chemistry
58,vodka,gin,8.46,Q214970,Q959362,vodka,gin
59,vodka,brandy,8.13,Q214970,Q146470,vodka,brandy
60,drink,car,3.04,Q40050,Q1144312,drink,car
61,drink,ear,1.31,Q40050,Q7362,drink,ear
62,drink,mouth,5.96,Q40050,Q9635,drink,mouth
63,drink,eat,6.87,Q40050,,drink,
64,baby,mother,7.85,Q998,Q7560,baby,mother
65,drink,mother,2.65,Q40050,Q7560,drink,mother
66,car,automobile,8.94,Q1144312,Q1420,car,automobile
67,gem,jewel,8.96,Q83437,Q83437,gemstone,gemstone
68,journey,voyage,9.29,Q61509,,travel,
69,boy,lad,8.83,Q3010,Q3010,boy,boy
70,coast,shore,9.1,Q93352,Q468756,coast,bank
71,asylum,madhouse,8.87,,,,
72,magician,wizard,9.02,Q2488257,Q2488257,magician,magician
73,midday,noon,9.29,Q168182,Q168182,noon,noon
74,furnace,stove,8.79,Q1709184,Q203789,furnace,stove
75,food,fruit,7.52,Q2095,Q3314483,food,fruit
76,bird,cock,7.1,Q5113,Q2216236,bird,rooster
77,bird,crane,7.38,Q5113,Q25365,bird,Crane
78,tool,implement,6.46,Q39546,Q1183543,tool,device
79,brother,monk,6.27,Q10861465,Q733786,brother,monk
80,crane,implement,2.69,Q25365,Q1183543,Crane,device
81,lad,brother,4.46,Q3010,Q10861465,boy,brother
82,journey,car,5.85,Q61509,Q1144312,travel,car
83,monk,oracle,5.0,Q733786,Q217123,monk,oracle
84,cemetery,woodland,2.08,Q39614,Q3241565,cemetery,woodland
85,food,rooster,4.42,Q2095,Q2216236,food,rooster
86,coast,hill,4.38,Q93352,Q54050,coast,hill
87,forest,graveyard,1.85,Q4421,Q39614,forest,cemetery
88,shore,woodland,3.08,Q468756,Q3241565,bank,woodland
89,monk,slave,0.92,Q733786,Q12773225,monk,slave
90,coast,forest,3.15,Q93352,Q4421,coast,forest
91,lad,wizard,0.92,Q3010,Q2488257,boy,magician
92,chord,smile,0.54,Q170439,Q487,chord,smile
93,glass,magician,2.08,Q11469,Q2488257,glass,magician
94,noon,string,0.54,Q168182,Q11064354,noon,string
95,rooster,voyage,0.62,Q2216236,,rooster,
96,money,dollar,8.42,Q1368,Q4917,money,United States dollar 
97,money,cash,9.08,Q1368,Q693464,money,cash
