American,Americans,Q846570
Arafat,Yasser Arafat,Q34211
Brazil,Brazil,Q155
CD,compact disc,Q34467
FBI,Federal Bureau of Investigation,Q8333
Freud,Sigmund Freud,Q9215
Harvard,Harvard University,Q13371
Israel,Israel,Q801
Jackson,,
Japanese,Japanese people,Q161652
Jerusalem,Jerusalem,Q1218
Maradona,Diego Maradona,Q17515
Mars,Mars,Q111
Mexico,Mexico,Q96
OPEC,OPEC,Q7795
Palestinian,Palestinian people,Q201190
Wednesday,Wednesday,Q128
Yale,Yale University,Q49112
abuse,abuse,Q600571
accommodation,,
activity,activity,Q1914636
admission,,
airport,airport,Q1248784
alcohol,alcohol,Q156
aluminum,aluminum,Q663
animal,animal,Q729
announcement,announcement,Q567303
antecedent,antecedent,Q260460
anxiety,anxiety,Q154430
approach,approach,Q27231134
architecture,architecture,Q12271
archive,archive,Q166118
area,area,Q11500
arrangement,,
arrival,,
article,article,Q191067
artifact,artefact,Q8205328
association,association,Q48204
astronomer,astronomer,Q11063
asylum,,
atmosphere,atmosphere,Q8104
attempt,attempt,Q16886387
attitude,attitude,Q622645
automobile,automobile,Q1420
avenue,avenue,Q207934
baby,baby,Q998
bank,bank,Q22687
baseball,baseball,Q5369
basketball,basketball,Q5372
bed,bed,Q42177
benchmark,,
bird,bird,Q5113
bishop,bishop,Q29182
block,,
board,,
book,book,Q571
boxing,boxing,Q32112
boy,boy,Q3010
brandy,brandy,Q146470
bread,bread,Q7802
brother,brother,Q10861465
buck,,
butter,butter,Q34172
cabbage,cabbage,Q35051
calculation,calculation,Q622821
canyon,canyon,Q150784
car,car,Q1144312
card,,
carnivore,carnivore,Q81875
cash,cash,Q693464
cat,cat,Q146
category,,
cell,cell,Q7868
cemetery,cemetery,Q39614
center,centre,Q23595
century,century,Q578
challenge,challenge,Q21075823
championship,championship,Q1079023
chance,chance,Q3851114
change,change,Q1150070
chemistry,chemistry,Q2329
children,child,Q7569
chord,chord,Q170439
citizen,citizen,Q1020994
clinic,clinic,Q1774898
closet,closet,Q1723368
clothes,clothing,Q11460
coast,coast,Q93352
cock,rooster,Q2216236
coffee,coffee,Q8486
cognition,cognition,Q2200417
collection,,
combination,combination,Q202805
communication,communication,Q11024
company,business enterprise,Q4830453
competition,competition,Q476300
computation,computation,Q12525525
computer,computer,Q68
concert,concert,Q182832
conclusion,,
